"SAT: 1530
ACT: None
Unweighted GPA: 3.97
Weighted GPA: 4.62
Rank: 1/630
AP Courses: 15
IB Courses: None","High placement at state tournament for Congressional Debate
Description: Highest from my region ever.
Three published editorials for high-profile local newspaper
State public speaking champion for minority organization
Description: See extracurricular 4.
Elimination Round Qualifier at NSDA National Tournament
Description: Rare from my region.
Questbridge College Prep Scholar and Fein Fellow","Paid Congressional Internship: Processed applications for stimulus checks and VA appointments; wrote speeches for Rep.; lead staffer for Rep. at community events.
Debate Captain: Compete in local, statewide, and national tournaments; 5+ TFA State qualifications; multiple UIL Congress and National Tournament qualifications.
Local HS for Biden Chapter: Founded organization; lots of recruits; organization made thousands of phone calls.
Public Speaking Coach for Minority-Focused Organization: Taught minority students public speaking skills and minority history; coached many successful public speakers at statewide tournaments.
Intern at Economic Development Firm: Youngest intern in firm's history; conducted research using economic databases; organized meetings.
Racial Justice Protest: Head organizer of a large racial justice protest in my city; politicians involved; lots of media coverage.
Local Young Democrats Chapter: Lead Latinx caucus; member of the executive board; member of endorsement committee.
Guitar: Play mostly for fun; qualifier for state tournament; high finish at a competitive local tournament.
Volunteer for Senate Campaign: Canvassed door-to-door; attended phone banks.
Temporary Office Worker at Insurance Company: Digitized files; sanitized equipment; did this to make money during COVID.","University of Texas at Austin
Princeton University"
"SAT: None
ACT: 35
Unweighted GPA: None
Weighted GPA: 4.42
Rank: None
AP Courses: 3
IB Courses: None","NSDA Nationals
National Honor Society
Description: President
Other Honor Societies
Description: President of the music honor society
National African American Recognition Scholar
AP Scholar","Debate: Team Captain, NSDA National Qualifier in World Schools, emphasized coaching novices
Teaching Assistant: Taught math, English, and Social Emotional Learning to middle schoolers from the inner-city
Research Assistant: Researched Black Workforce trends
Principal's Committee on Equity: Worked to make curriculum and school environment more equitable
Marching Band: Small leadership role, massive time commitment
Varsity/JV Baseball: Participated, did not start
Cultural Sensitivity Club: Presented on cultural sensitivity to surrounding schools
Summer Baseball Camp Coach: Taught baseball to younger players
Summer Church Camp: Worked with children, inspired to pursue education
Econ Camp: Attended for a week",University of Pennsylvania
"SAT: None
ACT: 36
Unweighted GPA: 3.97
Weighted GPA: 4.4
Rank: None
AP Courses: 7
IB Courses: None","National Merit Semifinalist
Regional Science Olympiad award
Hackathon award
Presidential Volunteer Service Award Bronze
National French Contest, 3x gold medal","University of California, Santa Cruz SIP: Project was on an environmental topic and involved coding
President of local branch of one of the largest nationwide organizations to teach girls coding
Officer on a team that runs a hackathon for minorities
Taught kids coding online during COVID
Co-founded a club at school that combines computer science and humanities
Climate advocacy and marketing with a local youth group
Science Olympiad
Yearbook design editor
School team for environment-related Olympiad
Officer for graphic design club","University of California, Berkeley
University of California, Los Angeles
University of Illinois, Urbana Champaign
University of California, San Diego
Carnegie Mellon University
Purdue University
University of California, Santa Barbara
University of California, Davis
University of Washington, Seattle
University of California, Santa Cruz
University of Minnesota Twin Cities"
"SAT: 1490
ACT: None
Unweighted GPA: 3.96
Weighted GPA: 4.15
Rank: None
AP Courses: 8
IB Courses: None","President's Education Award/High Honor Roll
State DECA Entrepreneurship 5th Place
Technology Students Association Engineering Design Category 3rd Place
State Technology Students Association Fashion Design 5th Place","High School Tennis: 4 varsity letters, MVP, Captain, multiple individual/team awards, over 18 medals
Cello and School Cello Orchestra: 1st chair at school orchestra, performed at outside orchestras and Carnegie Hall
Technology Students Association: Founder, President, multiple fundraising opportunities, regional and state awards, qualified for nationals
Volunteering: 100+ hours, various roles including tutoring, food preparation, mask making, teaching tennis, surfing, skiing, chess, and church fundraising
Business Owner/YouTube Channel: Owns a business through eBay, made over 3,000 dollars, YouTube channel with over 10,000 views
Club Tennis: Nationally ranked, member of a team that qualified for nationals, winner of multiple tournaments
Coding/App Development
Language: Fluent in Chinese, some Italian and Latin
Piano
Fencing
School Involvement: School ambassador, mentor, member of robotics club, CS club, math club, service club, spirit club, innovation club, Chinese club secretary","Pepperdine University
University of Richmond
University of Notre Dame
Lehigh University
Boston University
University of Southern California
University of California, Berkeley"
"SAT: 1530
ACT: None
Unweighted GPA: 3.93
Weighted GPA: 4.32
Rank: None
AP Courses: 8
IB Courses: None","National Economics Challenge State Finalist
Description: 2x
FBLA Nationals Qualifier
EconBowl Top 10
USACO Silver
President's Volunteer Award Silver
Description: 150 hours","Youth Economics Initiative: Chapter Founder and President, economics club
FBLA: Vice President
DECA: Treasurer
National Economics Challenge: Team Captain
Economics Research Assistant at Local University
Marching Band: Trumpet Section Chair
LaunchX Summer Program","University of Pennsylvania
Northwestern University
Vanderbilt University
University of California, Berkeley
Duke University
University of Southern California
University of California, San Diego"
"SAT: None
ACT: 35
Unweighted GPA: 3.97
Weighted GPA: 4.48
Rank: None
AP Courses: 12
IB Courses: None","AP Scholar with Distinction
NCWIT Women in Computing Affiliate Winner
Local engineering competition winner
Description: Won a small local competition with minimal applicants.
National Honor Society","STEAM-based club: Our team made a project serving kids with special needs and competed at the international level multiple times, placing decently well. Participated all four years.
Leadership board member of Best Buddies: Elected to represent a club of 70+ members; planned all the meetings.
JV Cross Country: Participated all four years, planned bonding activities, and managed social media.
Volunteered with kids with special needs: Accumulated over 200 hours of volunteer work.
Personal coding projects: Learned HTML, CSS, and JavaScript on Codecademy, coded simple websites, participated in hackathons, and created a website to display photography.
Part-time job: Worked approximately 12-15 hours per week.
Digital photography and Adobe Photoshop: Self-taught in both skills, took senior portraits for friends, and created locker signs for cross country using Photoshop.
ND Summer Scholars: Participated for two weeks, working 30 hours per week.
Girls Who Code Summer Immersion Program: Participated in an online program.
Family business assistance: Updated the website to improve functionality.","University of Arizona
Elon University
Loyola University Chicago
University of Vermont
University of Washington, Seattle
Santa Clara University
Northeastern University
California Polytechnic State University
University of Notre Dame"
"SAT: 1460
ACT: 35
Unweighted GPA: 3.8
Weighted GPA: None
Rank: None
AP Courses: 5
IB Courses: None","National Merit Commended Scholar
AP Scholar with Distinction","Founder and President of ACLU Club: Grew club from 0 to 30 people over 3 years
Dungeons and Dragons: Dungeon Master
Cosplay Hobby: Made a lot of her own cosplay
Drama: Audio director
Tutoring: 2 hours per week at library
SAGA (also known as GSA)
Model UN: Just a vanilla member","Haverford College
Reed College
Williamette University
Lewis & Clark College"
"SAT: None
ACT: 33
Unweighted GPA: 4
Weighted GPA: None
Rank: 3/226
AP Courses: 10
IB Courses: None","DECA awards:
3rd in NJ for hotel and lodging management
1st in NJ for cluster exam
1st in South Jersey
1st in South Jersey for marketing communications test
State community service award
Youth Leadership Award from the Cannonballs for Kayne organization
Key Club distinguished VP
Student of the month
Scholar athlete
County academic all star","Founder of STEM club
President of DECA
Key Club officer
Paid chem internship with a pharmaceutical company
Wildlife refuge hospital volunteer
Docent at a historical museum
Choir and school musical participant
Varsity cheerleader
Neuroscience research participant
Volunteer with the Academy of Natural Sciences
World language honor society member
National honor society member
Neuroscience journal contributor","University of Minnesota Twin Cities
Rutgers University
University of Pittsburgh
Tulane University
University of Rochester
University of Miami
Fordham University
Florida State University"
"SAT: 1520
ACT: None
Unweighted GPA: 40
Weighted GPA: 41
Rank: None
AP Courses: None
IB Courses: None","Scholar distinction award, The Earth Prize
Scholar's Award for GCSE examinations
Description: All 8s and 9s out of a maximum possible grade of 9
UKMT Senior Math Challenge Gold Award
Description: Maximum possible achievement for two years in a row
University of Washington, Seattleaterloo CEMC Cayley Math Competition Distinction Award
CEMC Galois Math Competition Distinction Award","Yale Summer Program
Johns Hopkins University's Centre for Talented Youth Maths Course
Research Assistant for CERN physicist
Member of environment and youth-based UN org
Leader of club in school - discussed and taught environmental issues, systems, and solutions - created learning resources
Leader of school's math society; school's creative executive
Participant and leader of team which participated in The Earth Prize; selected as Lead Organizer of national conference, organized discussions, showcases, booths
Founder of social justice org
Visual Artist
Musician - piano and cello: Trinity Grade 7 on Piano, ABRSM Grade 4 on Cello","University of Bath
University of Washington, Seattle
Purdue University"
"SAT: 1530
ACT: 36
Unweighted GPA: 3.3
Weighted GPA: 3.8
Rank: None
AP Courses: 10
IB Courses: None","Chosen for Boys State and Boys Nation, elected to leadership positions in both
Two-time TOC, NSDA Nats, and States qualifier for debate. One-time state champ in my event.
Some minor essay competition awards","Wrote three novels, one of which is in the process of being published by a big five publishing house. I explained how this novel is an allegory for modern American politics.
Founder/editor-in-chief of an online lit magazine with 10k monthly pageviews
Contributing writer for a well-known nonfiction publication writing about politics and philosophy.
Interned with a well-known writer.
Speechwriter for multiple congressional candidates.
Founder/president of school's Libertarian Club.
President of Speech and Debate.","Duke University
Vanderbilt University
New York University
University of Chicago
Amherst College
Bowdoin College
University of Southern California
Arizona State University"
